"","etca_BR_Fall","etsp_BR_Fall","cysp_BR_Spring","etbl_BR_Spring","etsp_BR_Spring","coba_HZ_Fall","etca_HZ_Fall","etfl_HZ_Fall","luzo_HZ_Fall","coba_HZ_Win","etca_HZ_Win","etfl_HZ_Fall","luzo_HZ_Win","coba_HZ_Win","etca_HZ_Win","etfl_HZ_Fall","luzo_HZ_Win","coba_HZ_Win","etca_HZ_Win","etfl_HZ_Fall","luzo_HZ_Win","etbl_Spr","etca_Spr","etfl_Spr","etsp_Spr","luzo_Spr","etbl_Sum","etca_Sum","etfl_Sum","etsp_Sum","luzo_Sum"
"intercept",-9.99999999999612e-06,-1.81818181818408e-05,-8.33333333333242e-06,-1.42219368515108,-0.00480083129938111,1.04083408558608e-17,-0.104571428571429,0.08575,-0.000123302150841841,-0.0581071834500772,7.14285714285834e-05,-0.652850963648949,-0.172054465885002,0.027574182164323,-0.0972713527831678,-0.436559390140238,0.16824465988592,9.09090909090998e-05,7.14285714286077e-05,-0.000200000000000006,0.124748235354512,0.0485113456382345,0.000166666666666757,2.77555756156289e-17,2.77555756156289e-17,0.00214730026106919,-0.0130712698160845,0.00501356956942153,8.33333333332964e-05,-3.95836130180485e-05,0.0899193746579103
"body size",0,0,0,0.107274732330246,0,0,0,0,0.602927960944137,0,0,-0.811073912384371,0.241402101699163,0.637045981645337,0,0.129707667279669,0,0,0,0,0,0.54024510494774,0,0,0,0.346596275014883,0,0,0,0.43541974319798,0.419677039116615
"max current velocity",0,0,0,0.058711068451107,0,0,0,0,0,0.263166605340556,0,0,0.39123933954231,-0.407500975456366,0.550592562923591,0,-0.0557073553784368,0,0,0,0,0.193429236404859,0,0,0,0,0.164047104834565,0,0,0,-0.231654515566364
"food resource",0,0,0,1.4815874150697,0,0,0,0,0,0,0,-1.21065143356131,0,0.151473216775186,0,0,0,0,0,0,0,-0.38604180718609,0,0,0,0,0,0.453792685018712,0,0,0.215712860830721
"conspecific density",0,0,0,0.198656141142508,0.0149890926470048,0,0,0,0,0,0,0.903396788420073,0,0.241814375230764,0,0.561725371932792,-0.366065213991871,0,0,0,-0.252721389819036,-0.0714711391538702,-0.356632776376363,0,0,-0.0114354581452711,0.232090660041768,-0.0190261841768475,0,0,0
